trace_id,experiment_id,request_id,model,dataset,subset,predictor_checkpoint,threshold,sliding_window,layers,kv_heads,sequence_tokens,prompt_tokens,context_tokens_scored,question_tokens_not_scored,generated_tokens_retokenized,logical_total_kv,logical_removed_kv,logical_removed_fraction,logical_compression_factor,cold_removed_fraction,predicted_removed_fraction,protected_recent_predicted_drops,protected_recent_final_drops,predictor_only,score_margin_abs_p50,score_margin_abs_p90,near_threshold_0_125_fraction,near_threshold_0_25_fraction,near_threshold_0_50_fraction,layer_retention_min,layer_retention_max,layer_load_cv,global_head_retention_min,global_head_retention_max,global_head_load_cv,all_cold_dropped_layer_heads,all_cold_kept_layer_heads,head_drop_jaccard_mean,head_keep_jaccard_mean,decoding_trace_available,context_prefill_tokens,prompt_chunk_count,prompt_chunk_tokens,generation_steps,final_cache_tokens,generation_newly_dropped_mean,generation_newly_dropped_p90,generation_newly_dropped_max,generation_newly_admitted_mean,generation_newly_admitted_p90,generation_newly_admitted_max
kvzap-predictor-trace-20260818T030718Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T030718Z,longbench__qasper__row000079,Qwen/Qwen3-8B,longbench,retrieval/qasper,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,3841,3841,3841,28,0,1106208,736147,0.6654688810784228,2.9892585276481447,0.688409903641859,0.6877341331829095,24630,0,True,1.84375,3.90625,0.0299898391622552,0.06334613381931789,0.1296935115276693,0.05688622754491018,0.7685824004165582,0.4951265949651513,0.21940177615782927,0.4171656686626746,0.207268476356468,2,0,0.5384847409844534,0.19001464671206256,False,3841,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T032826Z::longbench__qasper__row000163,kvzap-predictor-trace-20260818T032826Z,longbench__qasper__row000163,Qwen/Qwen3-8B,longbench,retrieval/qasper,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,2889,2889,2889,16,0,832032,550998,0.6622317410868813,2.960609748286684,0.6929328141977544,0.6925106245913619,25193,0,True,1.890625,3.96875,0.029657513172570284,0.06236178416214761,0.12775830737279337,0.06542056074766354,0.7706818968501211,0.4839683818627584,0.2233567939694627,0.41962809122726047,0.20596567080772277,3,1,0.5424275164505066,0.194319334126409,False,2889,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T032848Z::longbench__qasper__row000049,kvzap-predictor-trace-20260818T032848Z,longbench__qasper__row000049,Qwen/Qwen3-8B,longbench,retrieval/qasper,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,5646,5646,5646,21,0,1626048,1068403,0.6570550192860235,2.91591962628554,0.6722966000161089,0.6717716820167671,23930,0,True,1.78125,3.75,0.03136992265910969,0.06593286299051443,0.1354117467627032,0.04682518597236982,0.780884697130712,0.5021836459544168,0.22894281103632858,0.43075235171409454,0.20981002963825193,2,0,0.5222599070239285,0.20615901479342377,False,5646,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T032912Z::longbench__qasper__row000070,kvzap-predictor-trace-20260818T032912Z,longbench__qasper__row000070,Qwen/Qwen3-8B,longbench,retrieval/qasper,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,5627,5627,5627,20,0,1620576,1080432,0.6666962857650613,3.0002665955745136,0.682214948172395,0.6815737120628714,24110,0,True,1.796875,3.9375,0.03163813360187982,0.06632703433840807,0.1361090130916415,0.04147414252710147,0.7643726674960014,0.49472495251834486,0.2243103686590447,0.41500799715656655,0.20404806836656184,2,1,0.5363089621560131,0.2076480213188389,False,5627,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T032936Z::longbench__narrativeqa__row000003,kvzap-predictor-trace-20260818T032936Z,longbench__narrativeqa__row000003,Qwen/Qwen3-8B,longbench,retrieval/narrativeqa,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,9041,9041,9041,21,0,2603808,1744625,0.6700282816551758,3.030562755548003,0.6796505884039543,0.6787885281864101,22810,0,True,1.75,3.65625,0.032174031264978066,0.06738016013469503,0.13792798854600646,0.025577922796150867,0.7594154407698264,0.49239914872879803,0.21465791640551068,0.4131886836510219,0.2076401287757068,0,0,0.5326347958092265,0.20453951043870097,False,9041,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T033001Z::longbench__qasper__row000016,kvzap-predictor-trace-20260818T033001Z,longbench__qasper__row000016,Qwen/Qwen3-8B,longbench,retrieval/qasper,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,15870,15870,15870,20,0,4570560,2918903,0.63863137121053,2.767257366390237,0.6438241558322393,0.6431120037807183,20479,0,True,1.65625,3.71875,0.035450579360078414,0.07410886193376742,0.15147049814464747,0.025133900441083806,0.7833963453056081,0.47673734375092963,0.25660050409577817,0.44195197087446614,0.19116185666122815,1,1,0.5022936754393428,0.23482606115754653,False,15870,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T033025Z::longbench__gov_report__row000096,kvzap-predictor-trace-20260818T033025Z,longbench__gov_report__row000096,Qwen/Qwen3-8B,longbench,summarization/gov_report,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,2698,2698,2698,20,0,777024,514497,0.6621378490239683,2.9597869933378282,0.6951159208819715,0.694836967712709,25408,0,True,1.875,3.875,0.029246200889547814,0.061577248579194464,0.12636546618894653,0.06342661230541141,0.7579225352112676,0.47964818292015093,0.22999546989539577,0.4190758586607363,0.20103662406230013,4,1,0.5461726707533912,0.1908626368989364,False,2698,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T033048Z::longbench__multi_news__row000127,kvzap-predictor-trace-20260818T033048Z,longbench__multi_news__row000127,Qwen/Qwen3-8B,longbench,summarization/multi_news,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,2740,2740,2740,21,0,789120,527073,0.6679250304136253,3.0113681896758977,0.7006564254721797,0.7005284367396594,25728,0,True,1.8125,3.75,0.030814071370640714,0.06427919708029198,0.13196598742903487,0.06697080291970803,0.7364507299270073,0.45440632474920195,0.227007299270073,0.42918694241686944,0.2045665017474345,2,1,0.5604178572326751,0.1852858785469676,False,2740,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T033110Z::longbench__gov_report__row000180,kvzap-predictor-trace-20260818T033110Z,longbench__gov_report__row000180,Qwen/Qwen3-8B,longbench,summarization/gov_report,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,4838,4838,4838,20,0,1393344,932601,0.6693257372192366,3.0241240778481715,0.6875154812455768,0.6871870837352442,24887,0,True,1.796875,3.78125,0.030970097836571585,0.06511170249414358,0.1340236151302191,0.04909053327821414,0.7564076064489459,0.4977157727815603,0.22078108492949336,0.41423797712553395,0.20609291938340749,2,1,0.5420408624292914,0.19511359010529458,False,4838,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T033133Z::longbench__multi_news__row000144,kvzap-predictor-trace-20260818T033133Z,longbench__multi_news__row000144,Qwen/Qwen3-8B,longbench,summarization/multi_news,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,5307,5307,5307,21,0,1528416,1021216,0.6681531729581475,3.0134384858044165,0.684666709574993,0.6841854573623934,24504,0,True,1.78125,3.71875,0.03094576345706928,0.0650621296819714,0.13373584155099136,0.04284435651026946,0.7447946108912756,0.4860572152871052,0.227623892971547,0.4125787743650943,0.19799550159232815,1,0,0.5466299461072989,0.20586501413776753,False,5307,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T033156Z::longbench__gov_report__row000057,kvzap-predictor-trace-20260818T033156Z,longbench__gov_report__row000057,Qwen/Qwen3-8B,longbench,summarization/gov_report,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,8193,8193,8193,20,0,2359584,1579560,0.6694230847471418,3.0250146149349253,0.6800475304815045,0.6797384623730285,24340,0,True,1.78125,3.8125,0.0318259489808373,0.06689526628422637,0.137567469520051,0.026745392408153303,0.7488099597217136,0.49663255036627857,0.22683998535335043,0.4135881579125812,0.20922155554508276,3,1,0.53566765938867,0.20374569923729416,False,8193,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T033221Z::longbench__multi_news__row000073,kvzap-predictor-trace-20260818T033221Z,longbench__multi_news__row000073,Qwen/Qwen3-8B,longbench,summarization/multi_news,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,14300,14300,14300,21,0,4118400,2739240,0.6651223776223776,2.9861654920386322,0.6711296923511149,0.6704739704739705,22040,0,True,1.734375,3.8125,0.032959644522144525,0.06937791375291376,0.1424618783993784,0.023566433566433568,0.7459090909090909,0.4880957641389538,0.23684926184926186,0.40965229215229215,0.19187002557300376,0,1,0.5377855467018617,0.21973663062724572,False,14300,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T033246Z::longbench__2wikimqa__row000089,kvzap-predictor-trace-20260818T033246Z,longbench__2wikimqa__row000089,Qwen/Qwen3-8B,longbench,reasoning/2wikimqa,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,3887,3887,3887,30,0,1119456,738879,0.6600339807906698,2.9414704514460936,0.6825092001418817,0.6807672655289713,23210,0,True,1.84375,3.8125,0.02919185747363005,0.06115202384015093,0.12573517851527885,0.05081039361975817,0.7641497298687934,0.493294936483471,0.228446674098848,0.4187105165366035,0.2052291506008353,0,2,0.5329545575227824,0.20166952034172125,False,3887,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T033309Z::longbench__2wikimqa__row000134,kvzap-predictor-trace-20260818T033309Z,longbench__2wikimqa__row000134,Qwen/Qwen3-8B,longbench,reasoning/2wikimqa,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,3739,3739,3739,30,0,1076832,719706,0.6683549523045378,3.0152719208346634,0.6920462937321148,0.6908607842263231,24235,0,True,1.84375,3.78125,0.029145679177439005,0.061580636533832576,0.12664742503937476,0.05633190692698582,0.7574552019256485,0.4950198806439218,0.22370806216754333,0.41177825324656026,0.20703853662967453,0,2,0.5490395632485924,0.20135327892769114,False,3739,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T033331Z::longbench__2wikimqa__row000055,kvzap-predictor-trace-20260818T033331Z,longbench__2wikimqa__row000055,Qwen/Qwen3-8B,longbench,reasoning/2wikimqa,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,4377,4377,4377,29,0,1260576,842459,0.6683127395730206,3.0148881772326885,0.6884454839047096,0.687508726169624,24198,0,True,1.8125,3.78125,0.029986291980808773,0.06351223567638921,0.12995329119386692,0.0504055289010738,0.7492574822938085,0.48654639337815864,0.22691848805625364,0.4075089482903054,0.20250051361350244,0,1,0.544200085174892,0.20398933793937352,False,4377,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T033354Z::longbench__musique__row000135,kvzap-predictor-trace-20260818T033354Z,longbench__musique__row000135,Qwen/Qwen3-8B,longbench,reasoning/musique,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,7783,7783,7783,23,0,2241504,1484020,0.6620643996173997,2.9591436914839124,0.6731348428768416,0.6726162433794453,23652,0,True,1.75,3.75,0.03230643353748198,0.06760683897954231,0.13927345211072564,0.03608826930489528,0.7748458178080432,0.49542196215384304,0.23398218339115165,0.4241116678801376,0.20374060130941243,0,2,0.5277055520811333,0.21263467595175614,False,7783,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T033419Z::longbench__2wikimqa__row000083,kvzap-predictor-trace-20260818T033419Z,longbench__2wikimqa__row000083,Qwen/Qwen3-8B,longbench,reasoning/2wikimqa,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,8428,8428,8428,31,0,2427264,1611299,0.6638334355059854,2.974715827272003,0.6740708668005355,0.6735147062701049,23499,0,True,1.78125,3.75,0.03162408374202394,0.06625402098824026,0.136171837921215,0.031947081158044614,0.7711794019933554,0.5002991963085193,0.225046801666403,0.41409587090650213,0.2058619723376667,0,2,0.5271835684017904,0.2069547619689512,False,8428,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T033443Z::longbench__musique__row000155,kvzap-predictor-trace-20260818T033443Z,longbench__musique__row000155,Qwen/Qwen3-8B,longbench,reasoning/musique,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,16042,16042,16042,23,0,4620096,2966962,0.6421862229702586,2.7947498508892807,0.6473514759889964,0.6470190229813406,22328,0,True,1.6875,3.625,0.03395470570308496,0.07135782459931568,0.14593939173558299,0.02375015584091759,0.7798591198104975,0.48687942248517907,0.2506129742758592,0.43703334303010155,0.19090451377128936,0,1,0.5027125793041072,0.23272178483572983,False,16042,0,0,0,nan,nan,nan,nan,nan,nan,nan
