trace_id,experiment_id,request_id,model,dataset,subset,predictor_checkpoint,threshold,sliding_window,layers,kv_heads,sequence_tokens,prompt_tokens,context_tokens_scored,question_tokens_not_scored,generated_tokens_retokenized,logical_total_kv,logical_removed_kv,logical_removed_fraction,logical_compression_factor,cold_removed_fraction,predicted_removed_fraction,protected_recent_predicted_drops,protected_recent_final_drops,predictor_only,score_margin_abs_p50,score_margin_abs_p90,near_threshold_0_125_fraction,near_threshold_0_25_fraction,near_threshold_0_50_fraction,layer_retention_min,layer_retention_max,layer_load_cv,global_head_retention_min,global_head_retention_max,global_head_load_cv,all_cold_dropped_layer_heads,all_cold_kept_layer_heads,head_drop_jaccard_mean,head_keep_jaccard_mean,head_drop_jaccard_excess_mean,head_keep_jaccard_excess_mean,decoding_trace_available,context_prefill_tokens,prompt_chunk_count,prompt_chunk_tokens,generation_steps,final_cache_tokens,generation_newly_dropped_mean,generation_newly_dropped_p90,generation_newly_dropped_max,generation_newly_admitted_mean,generation_newly_admitted_p90,generation_newly_admitted_max
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,Qwen/Qwen3-8B,longbench,retrieval/qasper,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,2742,2742,2742,19,0,789696,523484,0.662893062646892,2.9664177422505373,0.6953530136869847,0.6944761021962882,24941,0,True,1.875,3.90625,0.029156789448091417,0.06150594659210633,0.12639547370127238,0.07289387308533916,0.7533278628738147,0.4730127587895913,0.2261224572493719,0.4185104141340465,0.20267962576915402,3,1,0.548465995365465,0.19298560406776713,0.036636274114892904,0.06685075548814791,False,2742,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T070949Z,longbench__qasper__row000042,Qwen/Qwen3-8B,longbench,retrieval/qasper,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,2715,2715,2715,22,0,781920,512132,0.6549672600777573,2.8982756831289755,0.6873738349869003,0.6867607939431144,24860,0,True,1.859375,3.84375,0.03040208717004297,0.06366508082668304,0.12982146511152037,0.06883057090239411,0.7656998158379373,0.4726700154048043,0.230877839165132,0.4294659300184162,0.2031002459767902,4,1,0.5376672568557744,0.19653386466754127,0.035958619690332996,0.06507537508508335,False,2715,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T071553Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T071553Z,longbench__qasper__row000079,Qwen/Qwen3-8B,longbench,retrieval/qasper,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,3841,3841,3841,28,0,1106208,736147,0.6654688810784228,2.9892585276481447,0.688409903641859,0.6877341331829095,24630,0,True,1.84375,3.90625,0.0299898391622552,0.06334613381931789,0.1296935115276693,0.05688622754491018,0.7685824004165582,0.4951265949651513,0.21940177615782927,0.4171656686626746,0.207268476356468,2,0,0.5384847409844534,0.19001464671206256,0.03527984760762105,0.060496892457576945,False,3841,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T071609Z::longbench__qasper__row000146,kvzap-predictor-trace-20260818T071609Z,longbench__qasper__row000146,Qwen/Qwen3-8B,longbench,retrieval/qasper,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,2499,2499,2499,16,0,719712,474793,0.6596986016628874,2.938571527729576,0.6953128661136886,0.6949321395224757,25358,0,True,1.90625,3.90625,0.029099139655862347,0.06125505757858699,0.12530428838201949,0.06987795118047219,0.7550520208083233,0.4718480663065692,0.22426748477168645,0.42185763194166553,0.20307504394078527,4,1,0.5454251667146631,0.1952506399734146,0.03400852800584868,0.06969515074539519,False,2499,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T071625Z::longbench__qasper__row000163,kvzap-predictor-trace-20260818T071625Z,longbench__qasper__row000163,Qwen/Qwen3-8B,longbench,retrieval/qasper,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,2889,2889,2889,16,0,832032,550998,0.6622317410868813,2.960609748286684,0.6929328141977544,0.6925106245913619,25193,0,True,1.890625,3.96875,0.029657513172570284,0.06236178416214761,0.12775830737279337,0.06542056074766354,0.7706818968501211,0.4839683818627584,0.2233567939694627,0.41962809122726047,0.20596567080772277,3,1,0.5424275164505066,0.194319334126409,0.033878715236097014,0.06851513131019141,False,2889,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T071641Z::longbench__qasper__row000049,kvzap-predictor-trace-20260818T071641Z,longbench__qasper__row000049,Qwen/Qwen3-8B,longbench,retrieval/qasper,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,5646,5646,5646,21,0,1626048,1068403,0.6570550192860235,2.91591962628554,0.6722966000161089,0.6717716820167671,23930,0,True,1.78125,3.75,0.03136992265910969,0.06593286299051443,0.1354117467627032,0.04682518597236982,0.780884697130712,0.5021836459544168,0.22894281103632858,0.43075235171409454,0.20981002963825193,2,0,0.5222599070239285,0.20615901479342377,0.03816316975962558,0.06269047364987605,False,5646,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T071658Z::longbench__qasper__row000051,kvzap-predictor-trace-20260818T071658Z,longbench__qasper__row000051,Qwen/Qwen3-8B,longbench,retrieval/qasper,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,6000,6000,6000,17,0,1728000,1144078,0.6620821759259259,2.959299358475961,0.6765144849379352,0.6750503472222222,22409,0,True,1.75,3.8125,0.03221585648148148,0.06746354166666667,0.13878414351851853,0.04095833333333333,0.7702291666666666,0.4922694085507835,0.22462037037037036,0.42208796296296297,0.2074553182002126,2,1,0.5287384663482171,0.20989063625757182,0.04012533606999644,0.06976646901232685,False,6000,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T071714Z::longbench__qasper__row000070,kvzap-predictor-trace-20260818T071714Z,longbench__qasper__row000070,Qwen/Qwen3-8B,longbench,retrieval/qasper,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,5627,5627,5627,20,0,1620576,1080432,0.6666962857650613,3.0002665955745136,0.682214948172395,0.6815737120628714,24110,0,True,1.796875,3.9375,0.03163813360187982,0.06632703433840807,0.1361090130916415,0.04147414252710147,0.7643726674960014,0.49472495251834486,0.2243103686590447,0.41500799715656655,0.20404806836656184,2,1,0.5363089621560131,0.2076480213188389,0.04020071387633163,0.07140133586081057,False,5627,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T071731Z::longbench__qasper__row000072,kvzap-predictor-trace-20260818T071731Z,longbench__qasper__row000072,Qwen/Qwen3-8B,longbench,retrieval/qasper,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,6687,6687,6687,16,0,1925856,1258630,0.6535431517205855,2.886362341995066,0.6662971574257593,0.6656276481730722,23273,0,True,1.71875,3.78125,0.032624972999019654,0.06875280394795873,0.14103546682618015,0.046433378196500674,0.7797966203080604,0.4906480567993412,0.2346966751408205,0.4330583387335294,0.20610687090327265,2,1,0.5138875776226882,0.2087206056740875,0.03813474363953985,0.0619199311721645,False,6687,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T071748Z::longbench__qasper__row000077,kvzap-predictor-trace-20260818T071748Z,longbench__qasper__row000077,Qwen/Qwen3-8B,longbench,retrieval/qasper,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,5411,5411,5411,19,0,1558368,1038061,0.6661205825581634,2.9950932814665188,0.6822597903127432,0.6816964927411241,24273,0,True,1.84375,3.875,0.03003719275549806,0.06318789913550586,0.12978513419166718,0.04199778229532434,0.7676030308630567,0.5060736654653119,0.21989157888252325,0.42066572208874925,0.21268320902385138,2,1,0.5325377543292761,0.19832127952592465,0.036821074358212885,0.06341962341258502,False,5411,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T071806Z::longbench__narrativeqa__row000002,kvzap-predictor-trace-20260818T071806Z,longbench__narrativeqa__row000002,Qwen/Qwen3-8B,longbench,retrieval/narrativeqa,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,8363,8363,8363,17,0,2408544,1583100,0.6572850651680019,2.917876924418858,0.6675015179113539,0.6664304243559594,22027,0,True,1.78125,3.65625,0.03095438572016953,0.0647058970066563,0.13336355906306882,0.0220913547769939,0.7888467057276097,0.488718256273141,0.22489271526698287,0.42977334024207153,0.20876436476415333,0,1,0.5115589858603607,0.21002508245439055,0.03642308466377444,0.06534792018493146,False,8363,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T071824Z::longbench__narrativeqa__row000003,kvzap-predictor-trace-20260818T071824Z,longbench__narrativeqa__row000003,Qwen/Qwen3-8B,longbench,retrieval/narrativeqa,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,9041,9041,9041,21,0,2603808,1744625,0.6700282816551758,3.030562755548003,0.6796505884039543,0.6787885281864101,22810,0,True,1.75,3.65625,0.032174031264978066,0.06738016013469503,0.13792798854600646,0.025577922796150867,0.7594154407698264,0.49239914872879803,0.21465791640551068,0.4131886836510219,0.2076401287757068,0,0,0.5326347958092265,0.20453951043870097,0.0403307308623348,0.0663861378753495,False,9041,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T071844Z::longbench__narrativeqa__row000005,kvzap-predictor-trace-20260818T071844Z,longbench__narrativeqa__row000005,Qwen/Qwen3-8B,longbench,retrieval/narrativeqa,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,13495,13495,13495,31,0,3886560,2537686,0.6529388456630028,2.8813365814746223,0.6591912712068693,0.6583063171545017,20861,0,True,1.6875,3.5625,0.03364286155366185,0.07059945041373349,0.14498708369354904,0.020174138569840683,0.756947017413857,0.4795850910042512,0.23487711498085712,0.4233275698818492,0.19255502599647178,0,0,0.5175500850190741,0.227968759907239,0.04846246793208792,0.07175551150557,False,13495,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T071904Z::longbench__qasper__row000016,kvzap-predictor-trace-20260818T071904Z,longbench__qasper__row000016,Qwen/Qwen3-8B,longbench,retrieval/qasper,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,15870,15870,15870,20,0,4570560,2918903,0.63863137121053,2.767257366390237,0.6438241558322393,0.6431120037807183,20479,0,True,1.65625,3.71875,0.035450579360078414,0.07410886193376742,0.15147049814464747,0.025133900441083806,0.7833963453056081,0.47673734375092963,0.25660050409577817,0.44195197087446614,0.19116185666122815,1,1,0.5022936754393428,0.23482606115754653,0.050272243238272944,0.06599374121182593,False,15870,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T071923Z::longbench__qasper__row000073,kvzap-predictor-trace-20260818T071923Z,longbench__qasper__row000073,Qwen/Qwen3-8B,longbench,retrieval/qasper,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,9849,9849,9849,18,0,2836512,1852561,0.6531123436107444,2.8827776992960015,0.6617121152373441,0.6608919687277897,22067,0,True,1.6875,3.8125,0.03489285432249185,0.07297836215746664,0.1497145085231439,0.030371103665346736,0.769849730937151,0.4841522983768196,0.2390005753545199,0.4323507180650038,0.20300855937001616,0,1,0.5129348231514227,0.2178320223902109,0.041798230023971455,0.06520125349071651,False,9849,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T071940Z::longbench__gov_report__row000096,kvzap-predictor-trace-20260818T071940Z,longbench__gov_report__row000096,Qwen/Qwen3-8B,longbench,summarization/gov_report,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,2698,2698,2698,20,0,777024,514497,0.6621378490239683,2.9597869933378282,0.6951159208819715,0.694836967712709,25408,0,True,1.875,3.875,0.029246200889547814,0.061577248579194464,0.12636546618894653,0.06342661230541141,0.7579225352112676,0.47964818292015093,0.22999546989539577,0.4190758586607363,0.20103662406230013,4,1,0.5461726707533912,0.1908626368989364,0.034114978080599094,0.06614890698730966,False,2698,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260818T071955Z::longbench__gov_report__row000109,kvzap-predictor-trace-20260818T071955Z,longbench__gov_report__row000109,Qwen/Qwen3-8B,longbench,summarization/gov_report,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,2880,2880,2880,20,0,829440,546034,0.6583164544753086,2.9266846855747586,0.6889358244509044,0.6901451581790123,26400,0,True,1.90625,3.875,0.028772424768518517,0.060226176697530866,0.12375940393518518,0.061197916666666664,0.7651475694444444,0.48685168771313975,0.2355324074074074,0.42489390432098767,0.1977500633558964,2,1,0.5397685565820747,0.20015129530064257,0.035345600283954545,0.07112613041843996,False,2880,0,0,0,nan,nan,nan,nan,nan,nan,nan
